Date,Lidao-1.0,Lidao-SPX,Lidao-NASDAQ
2024-04-19,-22.37,-9.28,-31.81
2024-04-22,-30.89,-7.72,-30.08
2024-04-23,-38.27,1.49,-25.62
2024-04-24,-31.07,9.16,-22.53
2024-04-25,-31.12,7.04,-19.01
2024-04-26,-28.76,8.84,-6.62
2024-04-29,-17.05,16.12,-1.83
2024-04-30,-22.39,2.24,-14.84
2024-05-01,-21.54,0.21,-13.87
2024-05-02,-8.92,4.67,-12.51
2024-05-03,6.56,7.32,-5.83
2024-05-06,16.55,10.48,1.02
2024-05-07,24.38,15.52,5.88
2024-05-08,30.01,14.92,2.03
2024-05-09,42.71,25.64,4.82
2024-05-10,61.65,28.84,6.01
2024-05-13,77.49,28.83,10.65
2024-05-14,97.75,32.82,16.02
2024-05-15,122.97,37.62,19.55
2024-05-16,140.94,34.52,20.26
2024-05-17,156.62,37.72,20.85
2024-05-20,170.13,33.96,23.54
2024-05-21,178.47,32.42,22.37ÃŸ
2024-05-22,178.37,27.65,21.53
2024-05-23,168.53,7.84,13.98
2024-05-24,162.67,13.24,16.89
2024-05-28,150.77,3.64,8.03
2024-05-29,139.98,-7.83,-0.62
2024-05-30,125.41,-1.74,0.41
2024-05-31,117.93,14.42,5.47
2024-06-03,113.53,11.96,2.21
2024-06-03,113.53,11.96,2.21
2024-06-04,105.56,8.68,3.63
2024-06-05,104.46,11.08,11.46
2024-06-06,103.14,11.96,15.09
2024-06-07,96.21,13.28,13.672
2024-06-10,89.37,11.12,13.63
2024-06-11,80.52,4.36,14.82
